Frequency,Number,Vocabulary,Translation
345,332.06,精神,Spirit
346,330.06,全面,comprehensive
347,327.61,五,five
348,326.93,自,since
349,326.76,成,become
350,324.04,期间,period
351,322.85,公斤,Kilogram
352,321.87,统计,statistics
353,321.28,此,this
354,320.39,学习,learn
355,319.89,德国,Germany
356,319.36,坚持,insist
357,317.77,队,team
358,317.58,目标,Target
359,316.96,使用,use
360,316.64,最近,recent
361,316.16,强调,Emphasize
362,315.85,报告,Report
363,313.75,领域,field
364,313.51,总,total
365,313.34,收入,income
366,313.15,长,long
367,311.93,各地,Various places
368,311.24,价格,price
369,310.88,仅,only
370,310.37,事业,cause
371,310.16,台湾,Taiwan
372,308.86,友好,friendly
373,308.62,统一,Unite
374,308.54,行动,action
375,307.71,信息,information
376,307.51,日前,Date
377,307.08,之间,between
378,306.71,保持,Keep
379,305.92,资源,resource
380,304.37,举办,hold
381,304.04,各种,Various
382,303.93,关于,about
383,303.56,最后,At last
384,303.46,余,Remain
385,300.72,先进,advanced
386,300.3,每年,Per year
387,299.54,旅游,travel
388,298.7,社会主义,socialism
389,296.49,科学,science
390,296.16,作,do
391,295.82,仍,still
392,295.82,则,but
393,295.37,调查,investigation
394,295.01,正式,formal
395,294.63,公里,kilometer
396,294.44,会见,meet
397,294.14,国有,State-owned
398,293.59,任务,Task
399,292.91,江泽民,Jiang Zemin
400,292.63,阿,A
401,291.44,过去,past
402,291.44,成果,Outcome
403,291.2,号,No
404,291.13,扩大,expand
405,290.77,人们,people
406,290.47,走,go
407,289.77,完,Finish
408,288.48,重大,major
409,287.66,外,outside
410,286.74,就是,that is
411,286.03,法国,France
412,286.02,巴,-bar
413,285.6,本,Book
414,285.42,受到,Be subject to
415,285.31,优势,Advantage
416,285.26,法律,law
417,285.05,每,Every
418,284.58,投入,Put in
419,284.26,只,only
420,282.92,体育,physical education
421,282.34,全部,all
422,281.33,接受,accept
423,281.02,结构,structure
424,280.32,金融,finance
425,279.89,造成,cause
426,279.65,调整,adjust
427,279.61,克,gram
428,279.02,以色列,Israel
429,278.71,各级,All levels
430,277.56,世纪,century
431,277.03,基地,base
432,276.34,能力,ability
433,275.99,做,Do
434,275.63,金牌,gold medal
435,275.43,新闻,news
436,273.84,中心,center
437,273.36,结果,result
438,273.08,去,go with
439,272.87,超过,Exceed
440,272.2,会谈,talks
441,271.72,全,Complete
442,271.7,不仅,not only
443,271.2,部长,minister
444,270.85,面积,area
445,270.47,十分,very
446,270.26,召开,Convene
447,269.61,国务院,State government
448,269.42,运动员,athlete
449,269.35,小标题,subtitle
450,267.61,区,Area
451,266.45,推动,promote
452,266.21,女子,woman
453,266.17,不能,can not
454,264.8,而且,and
455,263.93,交流,comminicate
456,263.08,欧洲,Europe
457,262.69,帮助,help
458,262.18,当地,local
459,261.46,经,through
460,260.93,先后,Successively
461,260.21,这样,so
462,260.14,却,but
463,259.88,领导人,leader
464,259.11,加快,accelerate
465,258.86,村,village
466,257.06,看,Look
467,256.91,之一,one
468,256.85,设施,facility
469,255.74,个人,personal
470,255.63,部分,part
471,255.51,可能,possible
472,254.88,学生,student
473,253.77,传统,Tradition
474,253.54,减少,reduce
475,253.11,监督,Supervise
476,252.66,特,special
477,251.52,保证,ensure
478,250.73,十,ten
479,250.58,正,just
480,250.56,制定,Formulate
481,250.11,思想,Thought
482,249.76,台,tower
483,249.43,人士,person
484,248.98,消息,information
485,248.95,因此,therefore
486,248.29,粮食,food
487,247.74,英国,UK
488,247.19,近年来,In recent years
489,246.47,只有,only
490,245.25,祖国,motherland
491,244.51,创造,create
492,244.49,也是,Too
493,244.44,全市,Citywide
494,244.13,德,Morality
495,244.08,形势,situation
496,243.17,中央,central
497,242.02,亚洲,Asia
498,241.95,一直,Always
499,241.28,如果,if
500,240.78,支,branch
501,240.4,青年,youth
502,239.87,…,...
503,239.47,设备,equipment
504,238.98,系列,series
505,238.97,件,Piece
506,238.74,行业,industry
507,238.22,轮,wheel
508,237.9,充分,full
509,236.67,强,powerful
510,236.42,执行,implement
511,236.41,良好,good
512,236.28,准备,Prepare
513,236.22,均,all
514,235.85,平均,average
515,235.75,贷款,loan
516,234.61,间,between
517,234.39,汽车,car
518,232.79,人口,population
519,232.64,财政,financial
520,232.28,下降,decline
521,232.28,一定,must
522,232.27,处理,deal with
523,231.91,困难,difficulty
524,229.95,人才,Talent
525,229.51,结合,Combine
526,229.24,加,add
527,229.02,重视,Pay attention to
528,228.85,男子,man
529,228.72,方式,Way
530,228.41,战略,strategy
531,228.4,规模,scale
532,228.21,改善,improve
533,227.8,广大,Vast
534,227.57,秒,second
535,227.27,驻,Stationed
536,227.18,还有,and
537,225.7,标准,standard
538,225.69,原则,in principle
539,225.49,卡,Card
540,225.11,当,when
541,225.08,实际,actual
542,224.75,澳门,Macao
543,224.44,建成,Built
544,223.82,水,water
545,223.28,讨论,discuss
546,222.58,控制,control
547,222.28,体制,system
548,222.28,俄,Russian
549,221.97,打,hit
550,221.71,锦标赛,championship
551,221.68,主任,director
552,221.44,所有,all
553,220.99,户,Household
554,220.61,交通,transportation
555,220.37,起来,stand up
556,220.22,军事,military
557,220.12,销售,Sales
558,220.06,组成,composition
559,219.96,出席,Attend
560,219.9,奥运会,Olympic Games
561,219.66,检查,an examination
562,219.56,贡献,contribute
563,219.53,但是,but
564,219.53,有效,efficient
565,218.43,明显,obvious
566,218.28,如,like
567,218.24,各国,Country
568,218.21,经验,Experience
569,217.89,商品,commodity
570,217.57,中国队,Chinese team
571,217.19,直接,direct
572,217.13,因为,because
573,217.08,决赛,finals
574,216.58,意见,opinion
575,216.49,大型,Large-scale
576,216.17,参与,participate
577,215.85,年代,Era
578,215.22,组,Group
579,215.13,建议,suggestion
580,214.3,座,seat
581,213.36,今后,from now on
582,213.33,阶段,stage
583,212.92,不同,different
584,212.02,非洲,Africa
585,211.98,按,according to
586,211.61,底,end
587,211.39,此间,here
588,211.3,伊拉克,Iraq
589,211.15,胜,Win
590,210.65,科研,research
591,209.76,恢复,recover
592,209.54,训练,train
593,209.51,犯罪,crime
594,209.48,利益,Benefit
595,209.42,表明,show
596,209.02,谈判,negotiation
597,208.98,综合,comprehensive
598,208.85,获,Get
599,208.73,原因,reason
600,207.96,级,class
601,207.82,书记,secretary
602,207.56,内容,content
603,206.74,存在,exist
604,206.36,球,ball
605,206.34,足球,football
606,205.87,电,Electricity
607,205.6,枚,Enumerate
608,205.55,培训,Train
609,205.41,讲话,Speech
610,203.49,受,by
611,203.1,按照,according to
612,202.91,办法,Method
613,202.54,首都,capital
614,202.17,批准,approve
615,201.15,韩国,South Korea
616,200.75,西藏,Tibet
617,200.44,最高,Highest
618,200.31,产生,produce
619,200.07,同期,In the same period
620,199.93,分钟,minute
621,199.52,任何,any
622,199.43,土地,land
623,198.64,机制,mechanism
624,198.41,小时,Hour
625,197.89,随着,along with
626,197.82,无,none
627,197.23,竞争,compete
628,197.2,大量,Large amount
629,196.92,形式,form
630,195.38,落实,implement
631,195.31,之后,after
632,195.11,银行,Bank
633,194.79,自治区,autonomous region
634,194.52,委员,Member of a member
635,194.21,业务,business
636,193.59,变化,Variety
637,193.11,才,talent
638,193,队员,Player
639,192.85,负责人,principal
640,192.76,近日,recently
641,192.67,深入,In-depth
642,192.42,负责,responsible
643,191.98,持续,continued
644,191.94,上升,rise
645,191.82,居民,resident
646,191.72,迅速,fast
647,191.65,推广,Promote
648,191.23,欢迎,welcome
649,191.15,签署,sign
650,190.46,行政,administrative
651,190.4,认真,serious
652,190.21,维护,maintain
653,190.17,大力,vigorously
654,190.09,反,opposite
655,189.84,广泛,widely
656,189.61,现代化,modernization
657,189.28,集中,concentrated
658,188.7,专业,Professional
659,188.21,法,Law
660,187.97,非常,Very
661,187.47,欧盟,EU
662,186.89,未,not yet
663,186.02,队伍,Team
664,185.87,部队,force
665,184.81,行为,behavior
666,184.76,官员,Officials
667,184.6,电话,telephone
668,184.24,一起,Together
669,183.56,事件,event
670,183.23,大会,General Assembly
671,183.21,金,gold
672,183.09,学校,School
673,182.87,确定,Sure
674,182.66,成员,member
675,182.33,机关,organ
676,182.11,连续,continuous
677,181.62,增强,Enhanced
678,181.54,妇女,Woman
679,181.32,处,Place
680,180.97,声明,statement
681,180.81,力量,strength
682,180.81,八,Eight
683,180.57,冲突,conflict
684,179.62,上午,morning
685,179.24,长期,long
686,178.97,规划,planning
687,178.83,本届,current
688,178.61,利,profit
689,178.52,设计,design
690,178.47,京,Beijing
691,178.41,逐步,Gradually
692,178.33,委员会,Committee
693,178.04,倍,Multiplication
694,177.87,女,Female
695,177.81,知识,knowledge
696,177.81,虽然,Although
697,177.5,带来,bring
698,177.4,夫,husband
699,177.16,另,Other
700,176.79,保障,Assure
701,176.75,进程,process
702,176.64,拥有,have
703,176.59,李鹏,Li Peng
704,175.96,过程,process
705,175.73,公布,Announce
706,175.6,原,Original
707,175.49,各项,Various items
708,175.28,站,stand
709,175.11,北约,NATO
710,175.09,速度,speed
711,173.89,宣传,publicity
712,173.76,健康,healthy
713,173.52,看到,See
714,173.42,完全,completely
715,172.7,巨大,huge
716,172.51,纪录,Record
717,172.32,此外,also
718,172.16,就业,Employment
719,172.15,体系,system
720,171.95,石油,oil
721,171.79,建,establish
722,171.45,时期,period
723,171.44,基础上,basically
724,170.75,推进,Advancement
725,170.74,多种,Multiple
726,170.36,范围,Scope
727,170.35,公路,highway
728,170,打击,Strike
729,169.81,能够,were able
730,169.78,加工,Machining
731,169.78,不少,Many
732,169.55,两岸,Bilateral
733,169.19,优秀,excellent
734,169.15,乡,Township
735,168.84,还是,still is
736,168.7,部,Department
737,168.32,者,By
738,168.25,有的,some
739,167.99,达成,Reach
740,167.45,南,South
741,167.05,下午,afternoon
742,166.98,高度,high
743,166.98,老,old
744,166.38,引进,Introduce
745,166.37,夺得,Win
746,166.27,地位,status
747,166.04,效益,benefit
748,165.66,家庭,family
749,165.35,此次,This time
750,165.11,用于,Useful
751,165.08,左右,about
752,164.92,路,road
753,164.65,联赛,League
754,164.23,培养,nourish
755,163.68,机会,Chance
756,163.38,局,Bureau
757,163.16,案件,case
758,163.04,尼,Ni
759,162.73,表现,Performance
760,162.73,奥,Oh
761,162.04,市场经济,Market economy
762,161.9,呼吁,call
763,161.64,瓦,watt
764,161.44,低,Low
765,161.42,战胜,Defeat
766,161.02,即,which is
767,160.97,实力,strength
768,160.94,卫生,health
769,160.8,安排,arrange
770,160.59,除,remove
771,160.14,引起,cause
772,159.72,六,six
773,159.5,西部,west
774,159.13,赛,Match
775,158.68,特色,feature
776,158.53,状况,situation
777,158.46,更加,more
778,158.02,品种,Variety
779,157.85,伊,Iraqi
780,157.84,办,manage
781,157.53,称,say
782,157.51,现象,Phenomenon
783,157.44,西,WEAT
784,157.22,亚,Subaffow
785,156.91,设立,set up
786,156.86,具体,specific
787,156.66,贫困,poor
788,156.49,完善,Complete
789,156.39,比较,compare
790,156.32,责任,responsibility
791,156.04,中东,middle East
792,155.83,合同,contract
793,155.49,各类,Various types
794,155.46,仪式,ceremony
795,155.39,艺术,Art
796,155.06,应该,should
797,155.05,从而,thereby
798,154.65,份,share
799,153.87,显示,show
800,153.83,’,'
801,153.61,基,base
802,153.53,严格,strict
803,153.5,外资,foreign investment
804,153.26,第四,fourth
805,152.92,改造,Transform
806,152.8,依法,According to law
807,152.74,外长,Foreign minister
808,152.67,再次,again
809,152.17,意义,significance
810,151.89,分析,analyze
811,151.66,飞机,airplane
812,151.53,这位,this
813,151.39,指导,guide
814,150.82,首先,Firstly
815,150.54,谈,talk
816,150.35,开,open
817,150.34,巴勒斯坦,Palestine
818,150.22,据悉,It is reported that
819,149.99,便,Fool
820,149.92,当前,current
821,149.89,布,cloth
822,149.88,铁路,railway
823,149.79,改变,Change
824,149.46,突出,protrude
825,149.42,连,even
826,149.27,贯彻,implement
827,148.94,经贸,Economy
828,148.86,采用,use
829,148.66,进,Enter
830,148.47,马,horse
831,148.39,快,quick
832,148.08,期,Expect
833,148.05,采访,Interview
834,147.63,九,Nine
835,146.96,周年,anniversary
836,146.94,素质,Quality
837,146.91,及时,timely
838,146.75,网络,The internet
839,146.71,上述,Above
840,146.64,小组,group
841,146.59,想,think
842,146.56,基金,fund
843,146.5,资产,assets
844,146.2,观众,audience
845,145.93,相互,mutual
846,145.83,纳,Neck
847,145.72,电子,electronic
848,145.71,危机,crisis
849,145.52,确保,make sure
850,145.28,外国,Foreign country
851,144.94,顺利,smoothly
852,144.82,车,vehicle
853,144.8,联系,connect
854,144.79,如何,how
855,144.76,反对,be opposed to
856,144.75,儿童,child
857,144.69,头,head
858,144.5,对于,for
859,144.33,那,That
860,144.25,运输,transportation
861,144.19,进展,progress
862,144.03,其它,other
863,143.82,抓,Grasp
864,143.62,明年,next year
865,143.49,进口,import
866,143.41,反映,reflect
867,143.19,生态,Ecology
868,143.16,选举,election
869,143.1,未来,future
870,143.07,道,road
871,143.05,钱,money
872,142.95,加大,Increasing
873,142.89,理论,theory
874,142.58,广东,Guangdong
875,142.27,给予,give
876,142.11,团结,Unity
877,142.04,越来越,Get more and more
878,141.99,初,early
879,141.81,加入,join in
880,141.45,意大利,Italy
881,141.38,既,now that
882,141.36,进步,Progress
883,141.23,现代,modern
884,140.91,为期,Period
885,140.87,上年,Last year
886,140.38,段,part
887,140.22,通讯员,Correspondent
888,139.9,不会,Will not
889,139.9,预计,Expect
890,139.81,面临,Face
891,139.75,产量,Yield
892,139.74,多次,repeatedly
893,139.71,辆,Vehicle
894,139.68,孩子,child
895,139,总额,lump sum
896,138.69,教练,coach
897,138.37,人数,Number of people
898,138.26,当天,On the same day
899,138.25,早,morning
900,138.23,人民币,RMB
901,137.8,七,seven
902,137.55,平方米,Square meter
903,137.26,带,belt
904,137.26,普遍,universal
905,137.12,新疆,Xinjiang
906,137.02,方法,method
907,136.79,武装,Armed
908,136.61,事,thing
909,136.36,文明,civilization
910,136.19,整个,entire
911,135.95,指数,index
912,135.82,全球,worldwide
913,135.82,电视,television
914,135.74,不是,no
915,135.65,食品,food
916,135.63,集团,group
917,135.55,报,Report
918,135.35,套,set
919,135.29,方案,plan
920,135.26,适应,Adapt
921,135.17,污染,Pollution
922,135.14,医疗,Medical care
923,135,医院,hospital
924,134.96,晚,Night
925,134.95,你,you
926,134.79,相,Mutually
927,134.65,邀请,invite
928,134.49,尽管,although
929,134.28,考察,Examine
930,134.26,搞,Engage in
931,134.25,丰富,Rich
932,134.23,内地,Mainland
933,134.04,建筑,architecture
934,133.99,靠,Depend on
935,133.87,突破,breakthrough
936,133.8,关键,The essential
937,133.72,少,few
938,133.7,巴西,Brazil
939,133.65,市民,Citizen
940,133.41,多年,for many years
941,133.41,研制,Develop
942,132.63,基层,Grassroots
943,132.5,对手,opponent
944,132.08,目的,Purpose
945,131.91,难,difficult
946,131.47,军队,army
947,131.42,演出,show
948,131.33,旁,beside
949,130.99,明确,clear
950,130.81,吸引,absorb
951,130.8,秘书长,Secretary-general
952,130.73,从事,Engage in
953,130.73,损失,loss
954,130.61,哈,what
955,130.26,应当,should
956,130.05,国外,foreign
957,129.88,货币,currency
958,129.46,科学家,the scientist
959,129.26,厂,factory
960,129.13,一致,Consistent
961,129.06,道路,the way
962,128.33,题,question
963,128.29,球员,Player
964,128.13,援助,assistance
965,127.95,感到,feel
966,127.89,为此,to this end
967,127.72,镇,town
968,127.59,专门,specialized
969,127.52,如今,now
970,127.45,为主,Mainly
971,127.37,另外,in addition
972,127.22,什么,what
973,126.92,千,thousand
974,126.81,分子,molecular
975,126.7,才能,Can
976,126.63,出版,publishing
977,126.6,战争,war
978,126.58,各界,all walks of life
979,126.43,协调,coordination
980,126.38,做好,Do well
981,126.07,参赛,Contest
982,126.05,块,piece
983,126.03,教师,teacher
984,125.75,立即,immediately
985,125.62,发言人,spokesman
986,125.59,发,send
987,125.28,合理,Reasonable
988,124.97,需求,need
989,124.94,斗争,struggle
990,124.86,朝鲜,North Korea
991,124.79,世界杯,World Cup
992,124.6,共有,Total
993,124.57,实践,practice
994,124.54,认识,know
995,124.23,极,pole
996,124.1,一切,everything
997,123.86,抵达,arrival
998,123.7,大陆,mainland
999,123.28,计算机,computer
1000,123.11,维,dimension
1001,123.07,应用,application
1002,123.01,讲,speak
1003,122.96,格,grid
1004,122.74,以下,the following
1005,122.71,埃,Egypt
1006,122.55,担任,Serve as
1007,122.55,特点,Characteristic
1008,122.47,力度,Strength
1009,122.42,党员,Party member
1010,122.35,科,division
1011,122.31,重新,again
1012,122.28,关心,Care
1013,122.17,周,week
1014,122.16,关注,pay attention to
1015,122.04,显,Show
1016,121.81,集体,collective
1017,121.81,纷纷,Have
1018,121.81,交易,trade
1019,121.72,英,Britain
1020,121.63,尽快,ASAP
1021,121.18,符合,meets the
1022,121.08,乡镇企业,Township enterprises
1023,120.97,运动,sports
1024,120.95,独立,independent
1025,120.38,方针,policy
1026,119.99,人均,per capita
1027,119.95,天津,Tianjin
1028,119.93,材料,Material
1029,119.85,治理,Governance
1030,119.83,波黑,Boss and Herzegovina
1031,119.77,令,make
1032,119.64,革命,revolution
1033,119.43,类,kind
1034,119.27,及其,and
1035,119.24,最终,finally
1036,119.22,消费,Consumption
1037,119.01,外商,Foreign businessman
1038,118.92,学,learn
1039,118.78,北京市,Beijing
1040,118.71,正常,normal
1041,118.4,决议,resolution
1042,118.26,人次,Person
1043,118.09,港,port
1044,118.08,初步,Preliminary
1045,117.96,或者,or
1046,117.94,选择,choose
1047,117.9,位于,lie in
1048,117.85,片,piece
1049,117.77,非法,illegal
1050,117.76,首脑,summit
1051,117.58,公开,public
1052,117.42,事故,accident
1053,117.36,每天,every day
1054,117.17,强烈,strong
1055,117,针对,against
1056,117,重,Heavy
1057,116.96,手段,means
1058,116.86,塔,tower
1059,116.85,创新,Innovation
1060,116.77,程度,degree
1061,116.65,外交,diplomatic
1062,116.64,治疗,treat
1063,116.6,胜利,victory
1064,116.48,半,Half
1065,116.45,王,King
1066,116.42,高级,advanced
1067,116.08,作品,work
1068,115.74,坚决,Resolute
1069,115.59,透露,disclose
1070,115.3,资料,material
1071,115.08,广西,Guangxi
1072,114.88,鼓励,encourage
1073,114.81,线,String
1074,114.5,开幕,Opening
1075,114.29,因素,factor
1076,114.27,根本,fundamental
1077,113.94,蔬菜,vegetable
1078,113.94,甚至,even
1079,113.84,立场,position
1080,113.8,人类,Humanity
1081,113.74,武器,arms
1082,113.69,推出,roll out
1083,113.65,来到,come
1084,113.59,经济效益,Economic benefits
1085,113.53,列,List
1086,113.42,发行,issued
1087,113.4,扶贫,Poverty alleviation
1088,113.4,国内外,At home and abroad
1089,113.24,双边,bilateral
1090,113.09,大使,ambassador
1091,113.01,回归,return
1092,112.65,种植,Plant
1093,112.55,东,East
1094,112.44,住房,housing
1095,112.37,长江,Yangtze
1096,112.29,保险,insurance
1097,112.23,大家,Everyone
1098,112.17,死亡,die
1099,112.06,领先,Lead
1100,112.03,同意,agree
1101,111.97,即将,Soon
1102,111.77,官兵,Officers and men
1103,111.73,团体,group
1104,111.4,现场,on site
1105,110.52,外汇,Foreign exchange
1106,110.03,前往,Go
1107,109.99,民主,democracy
1108,109.88,职业,Profession
1109,109.87,产值,output value
1110,109.24,能源,energy
1111,109.06,局势,situation
1112,109.03,广州,Guangzhou
1113,108.98,价值,value
1114,108.94,各个,each
1115,108.91,局面,situation
1116,108.81,累计,Grand total
1117,108.8,导致,Lead to
1118,108.55,中国政府,Chinese government
1119,108.53,行,Row
1120,108.5,有利于,beneficial to
1121,108.17,做出,Make
1122,108.16,通讯,communication
1123,107.7,下岗,Laid off
