Frequency,Number,Vocabulary,Translation,Pinyin
132,721.46,工程,project,gōngchéng
133,719.93,科技,Technology,kējì
134,713.96,开发,Develop,kāifā
135,712.39,之,Of,zhī
136,711.92,主要,main,zhǔyào
137,704.85,香港,Hongkong,Xiānɡɡǎnɡ
138,694.71,同时,at the same time,tóngshí
139,694.29,没有,no,méiyǒu
140,690.93,开始,Start,kāishǐ
141,687.7,同,same,tóng
142,686.47,北京,Beijing,běijīng
143,686.36,一些,Some,yīxiē
144,681.38,研究,Research,yánjiū
145,681.22,所,Place,suǒ
146,680.93,这个,this,zhège
147,676.73,建立,Establish,jiànlì
148,672.25,出,out,chū
149,671.25,起,rise,qǐ
150,670.4,近,close,jìn
151,669.78,成为,become,chéngwéi
152,652.85,要求,Require,yāoqiú
153,645.43,位,Position,wèi
154,640.2,分,Minute,fēn
155,638.62,更,Even,gēng
156,638.06,其,That,jī
157,633.63,我,I,wǒ
158,632.81,米,rice,mǐ
159,631.53,农民,Farmer,nóngmín
160,628.83,内,Inside,nèi
161,623.53,增加,Increase,zēngjiā
162,622.12,其中,in,qízhōng
163,620.11,实现,accomplish,shíxiàn
164,614.5,以来,since,yǐlái
165,612.82,农业,agriculture,nóngyè
166,610.3,总统,President,zǒngtǒng
167,603.55,会,meeting,huì
168,602.31,们,Weies,mén
169,602.17,解决,solve,jiějué
170,600.06,很,very,hěn
171,598.79,服务,Serve,fúwù
172,597.75,可,Can,kě
173,593.48,代表,represent,dàibiǎo
174,589.95,情况,condition,qíngkuàng
175,588.33,主席,Chairman,zhǔxí
176,587.97,领导,lead,lǐngdǎo
177,582.38,公司,company,gōngsī
178,581.11,几,Several,jī
179,579.36,以及,as well as,yǐjí
180,577.43,提供,supply,tígōng
181,574.08,取得,Obtain,qǔdé
182,571.51,计划,plan,jìhuà
183,568.76,群众,the masses,qúnzhòng
184,567.03,这些,These,zhèxiē
185,564.51,能,can,néng
186,563.42,里,inside,lǐ
187,562.74,水平,level,shuǐpíng
188,558.53,选手,Playner,xuǎnshǒu
189,558.29,获得,get,huòdé
190,557.06,教育,educate,jiàoyù
191,553.69,自己,Own,zìjǐ
192,551.71,用,use,yòng
193,551.39,进一步,further,jìnyībù
194,546.94,天,sky,tiān
195,538.08,决定,Decide,juédìng
196,534.23,她,she,tā
197,533.82,给,give,gěi
198,533.05,这次,this time,zhècì
199,527.55,和平,Peace,hépíng
200,527.55,提出,propose,tíchū
201,527.3,介绍,introduce,jièshào
202,521.35,双方,both sides,shuāngfāng
203,520.23,干部,cadre,gànbù
204,518.05,首,head,shǒu
205,517.7,第二,second,dì
206,515.5,积极,positive,jījí
207,510.98,单位,unit,dānwèi
208,508.86,由于,because,yóuyú
209,505.89,城市,City,chéngshì
210,505.21,已经,already,yǐjīng
211,505.07,政策,policy,zhèngcè
212,504.91,文化,culture,wénhuà
213,504.17,日本,Japan,Rìběn
214,502.34,继续,continue,jìxù
215,496.59,上海,Shanghai,Shànɡhǎi
216,494.58,场,field,cháng
217,493.23,届,Session,jiè
218,489.44,环境,surroundings,huánjìng
219,488.87,指出,Poke,zhǐchū
220,488.52,条,strip,tiáo
221,487.9,报道,Report,bàodào
222,485.65,以上,above,yǐshàng
223,484.05,希望,hope,xīwàng
224,483.52,共,common,gòng
225,481.73,达到,achieve,dádào
226,477.5,实施,Implement,shíshī
227,477.39,开展,Carry out,kāizhǎn
228,476.18,支持,support,zhīchí
229,472.11,或,or,huò
230,469.94,访问,access,fǎngwèn
231,468.76,作为,Be,zuòwéi
232,468.66,占,Take up,zhān
233,468.0,重点,Focus,zhòngdiǎn
234,467.79,斯,State,sī
235,467.0,这里,here,zhèlǐ
236,463.93,规定,Regulation,guīdìng
237,459.52,尔,you,ěr
238,458.6,分别,respectively,fēnbié
239,458.0,资金,funds,zījīn
240,455.48,较,More,jiào
241,452.89,措施,measure,cuòshī
242,450.55,万,ten thousand,mò
243,450.13,批,Batch,pī
244,449.69,发生,occur,fāshēng
245,447.44,新华社,Xinhua News Agency,Xīnhuáshè
246,446.99,努力,effort,nǔlì
247,446.21,得,have to,dé
248,443.12,农村,Rural,nóngcūn
249,440.96,工业,industry,gōngyè
250,440.57,采取,take,cǎiqǔ
251,438.68,四,Four,sì
252,438.3,正在,Be in,zhèngzài
253,436.35,可以,Can,kěyǐ
254,432.78,市,city,shì
255,431.51,_,_,shì
256,430.76,促进,Promote,cùjìn
257,430.41,专家,expert,zhuānjiā
258,429.7,总理,Prime Minister,zǒnglǐ
259,429.03,生活,Life,shēnghuó
260,426.06,时间,time,shíjiān
261,425.87,安全,Safety,ānquán
262,425.82,经营,Manage,jīngyíng
263,420.07,职工,staff,zhígōng
264,418.55,县,County,xiàn
265,417.08,吨,Ton,dūn
266,416.7,岁,age,suì
267,416.35,根据,according to,gēnjù
268,416.35,进入,Enter,jìnrù
269,414.92,国内,domestic,ɡuónèi
270,414.29,稳定,stability,wěndìng
271,407.53,质量,quality,zhìliàng
272,407.36,现在,now,xiànzài
273,407.01,共同,common,gòngtóng
274,405.64,结束,Finish,jiéshù
275,405.32,特别,very,tèbié
276,403.26,利用,use,lìyòng
277,402.86,省,Province,shěng
278,402.02,实行,Implement,shíxíng
279,401.88,得到,get,dédào
280,400.78,政治,politics,zhèngzhì
281,398.5,冠军,champion,guànjūn
282,395.11,党,party,dǎng
283,394.69,完成,Finish,wánchéng
284,394.55,张,Sheet,zhāng
285,394.52,第三,third,dì
286,394.06,它,it,tā
287,392.94,产业,industry,chǎnyè
288,392.31,成立,Establishment,chénglì
289,391.5,包括,include,bāokuò
290,390.54,小,small,xiǎo
291,388.61,作用,effect,zuòyòng
292,388.15,成绩,achievement,chéngjì
293,387.91,点,point,diǎn
294,387.85,开放,open,kāifàng
295,387.44,出现,Appear,chūxiàn
296,386.19,不断,Constantly,bùduàn
297,382.11,影响,Influence,yǐngxiǎng
298,379.55,曾,Once,céng
299,377.41,历史,history,lìshǐ
300,376.71,应,answer,yīng
301,375.69,系统,system,xìtǒng
302,373.6,亩,mu,mǔ
303,372.29,保护,Protect,bǎohù
304,370.52,二,two,èr
305,370.17,宣布,Announce,xuānbù
306,370.05,严重,severe,yánzhòng
307,370.02,出口,exit,chūkǒu
308,369.83,全省,Province,quán
309,367.98,贸易,trading,màoyì
310,363.83,联合国,United Nations,liánhéguó
311,363.49,需要,need,xūyào
312,363.42,发现,Find,fāxiàn
313,362.72,该,Should,gāi
314,362.16,许多,many,xǔduō
315,361.76,必须,must,bìxū
316,361.45,拉,pull,lā
317,361.38,协议,protocol,xiéyì
318,360.63,发表,Publish,fābiǎo
319,359.13,形成,form,xíngchéng
320,358.65,为了,for,wèile
321,358.39,条件,condition,tiáojiàn
322,357.78,了解,learn,liǎojiě
323,355.38,民族,nationality,mínzú
324,354.63,具有,have,jùyǒu
325,353.89,制度,system,zhìdù
326,348.76,俄罗斯,Russia,Éluósī
327,347.5,约,make an appointment,yāo
328,346.67,再,Again,zài
329,346.27,因,because,yīn
330,346.24,基本,Basic,jīběn
331,344.9,成功,success,chénggōng
332,344.28,发挥,Play,fāhuī
333,343.5,基础,Base,jīchǔ
334,342.81,过,pass,guō
335,342.74,联合,joint,liánhé
336,342.12,美,nice,měi
337,339.9,让,let,ràng
338,338.37,来自,From,láizì
339,337.68,作出,Make,zuō
340,337.01,同志,Comrade,tóngzhì
341,336.33,经过,go through,jīngguò
342,336.0,机构,mechanism,jīgòu
343,334.22,地方,place,dìfāng
344,332.24,其他,other,qítā
345,332.06,精神,Spirit,jīngshén
346,330.06,全面,comprehensive,quánmiàn
347,327.61,五,five,wǔ
348,326.93,自,since,zì
349,326.76,成,become,chéng
350,324.04,期间,period,qījiān
351,322.85,公斤,Kilogram,gōngjīn
352,321.87,统计,statistics,tǒngjì
353,321.28,此,this,cǐ
354,320.39,学习,learn,xuéxí
355,319.89,德国,Germany,Déɡuó
356,319.36,坚持,insist,jiānchí
357,317.77,队,team,duì
358,317.58,目标,Target,mùbiāo
359,316.96,使用,use,shǐyòng
360,316.64,最近,recent,zuìjìn
361,316.16,强调,Emphasize,qiángdiào
362,315.85,报告,Report,bàogào
363,313.75,领域,field,lǐngyù
364,313.51,总,total,zǒng
365,313.34,收入,income,shōurù
366,313.15,长,long,cháng
367,311.93,各地,Various places,gèdì
368,311.24,价格,price,jiàgé
369,310.88,仅,only,jǐn
370,310.37,事业,cause,shìyè
371,310.16,台湾,Taiwan,táiwān
372,308.86,友好,friendly,yǒuhǎo
373,308.62,统一,Unite,tǒngyī
374,308.54,行动,action,xíngdòng
375,307.71,信息,information,xìnxī
376,307.51,日前,Date,rìqián
377,307.08,之间,between,zhījiān
378,306.71,保持,Keep,bǎochí
379,305.92,资源,resource,zīyuán
380,304.37,举办,hold,jǔbàn
381,304.04,各种,Various,gèzhǒng
382,303.93,关于,about,guānyú
383,303.56,最后,At last,zuìhòu
384,303.46,余,Remain,yú
385,300.72,先进,advanced,xiānjìn
386,300.3,每年,Per year,měi
387,299.54,旅游,travel,lǚyóu
388,298.7,社会主义,socialism,shèhuì
389,296.49,科学,science,kēxué
390,296.16,作,do,zuō
391,295.82,仍,still,réng
392,295.82,则,but,zé
393,295.37,调查,investigation,diàochá
394,295.01,正式,formal,zhèngshì
395,294.63,公里,kilometer,gōnglǐ
396,294.44,会见,meet,huìjiàn
397,294.14,国有,State-owned,guóyǒu
398,293.59,任务,Task,rènwù
399,292.91,江泽民,Jiang Zemin,jiāng
400,292.63,阿,A,ā
401,291.44,过去,past,guòqù
402,291.44,成果,Outcome,chéngguǒ
403,291.2,号,No,háo
404,291.13,扩大,expand,kuòdà
405,290.77,人们,people,rénmen
406,290.47,走,go,zǒu
407,289.77,完,Finish,wán
408,288.48,重大,major,zhòngdà
409,287.66,外,outside,wài
410,286.74,就是,that is,jiùshì
411,286.03,法国,France,Fǎɡuó
412,286.02,巴,-bar,bā
413,285.6,本,Book,běn
414,285.42,受到,Be subject to,shòudào
415,285.31,优势,Advantage,yōushì
416,285.26,法律,law,fǎlǜ
417,285.05,每,Every,měi
418,284.58,投入,Put in,tóurù
419,284.26,只,only,zhī
420,282.92,体育,physical education,tǐyù
421,282.34,全部,all,quánbù
422,281.33,接受,accept,jiēshòu
423,281.02,结构,structure,jiégòu
424,280.32,金融,finance,jīnróng
425,279.89,造成,cause,zàochéng
426,279.65,调整,adjust,tiáozhěng
427,279.61,克,gram,kè
428,279.02,以色列,Israel,Yǐsèliè
429,278.71,各级,All levels,ɡèjí
430,277.56,世纪,century,shìjì
431,277.03,基地,base,jīdì
432,276.34,能力,ability,nénglì
433,275.99,做,Do,zuò
434,275.63,金牌,gold medal,jīnpái
435,275.43,新闻,news,xīnwén
436,273.84,中心,center,zhōngxīn
437,273.36,结果,result,jiēguǒ
438,273.08,去,go with,qù
439,272.87,超过,Exceed,chāoguò
440,272.2,会谈,talks,huìtán
441,271.72,全,Complete,quán
442,271.7,不仅,not only,bùjǐn
443,271.2,部长,minister,bùzhǎnɡ
444,270.85,面积,area,miànjī
445,270.47,十分,very,shífēn
446,270.26,召开,Convene,zhàokāi
447,269.61,国务院,State government,guówùyuàn
448,269.42,运动员,athlete,yùndòngyuán
449,269.35,小标题,subtitle,xiǎobiāotí
450,267.61,区,Area,ōu
451,266.45,推动,promote,tuīdòng
452,266.21,女子,woman,nǚzǐ
453,266.17,不能,can not,bù
454,264.8,而且,and,érqiě
455,263.93,交流,comminicate,jiāoliú
456,263.08,欧洲,Europe,ōuzhōu
457,262.69,帮助,help,bāngzhù
458,262.18,当地,local,dāngdì
459,261.46,经,through,jīng
460,260.93,先后,Successively,xiānhòu
461,260.21,这样,so,zhèyàng
462,260.14,却,but,què
463,259.88,领导人,leader,lǐngdǎo
464,259.11,加快,accelerate,jiākuài
465,258.86,村,village,cūn
466,257.06,看,Look,kān
467,256.91,之一,one,zhīyī
468,256.85,设施,facility,shèshī
469,255.74,个人,personal,gèrén
470,255.63,部分,part,bùfen
471,255.51,可能,possible,kěnéng
472,254.88,学生,student,xuésheng
473,253.77,传统,Tradition,chuántǒng
474,253.54,减少,reduce,jiǎnshǎo
475,253.11,监督,Supervise,jiāndū
476,252.66,特,special,tè
477,251.52,保证,ensure,bǎozhèng
478,250.73,十,ten,shí
479,250.58,正,just,zhēng
480,250.56,制定,Formulate,zhìdìng
481,250.11,思想,Thought,sīxiǎng
482,249.76,台,tower,tāi
483,249.43,人士,person,rénshì
484,248.98,消息,information,xiāoxi
485,248.95,因此,therefore,yīncǐ
486,248.29,粮食,food,liángshi
487,247.74,英国,UK,Yīnɡɡuó
488,247.19,近年来,In recent years,jìnnián
489,246.47,只有,only,zhǐyǒu
490,245.25,祖国,motherland,zǔguó
491,244.51,创造,create,chuàngzào
492,244.49,也是,Too,yěshì
493,244.44,全市,Citywide,quán
494,244.13,德,Morality,dé
495,244.08,形势,situation,xíngshì
496,243.17,中央,central,zhōngyāng
497,242.02,亚洲,Asia,yàzhōu
498,241.95,一直,Always,yīzhí
499,241.28,如果,if,rúguǒ
500,240.78,支,branch,zhī
501,240.4,青年,youth,qīngnián
502,239.87,…,...,qīngnián
503,239.47,设备,equipment,shèbèi
504,238.98,系列,series,xìliè
505,238.97,件,Piece,jiàn
506,238.74,行业,industry,hángyè
507,238.22,轮,wheel,lún
508,237.9,充分,full,chōngfèn
509,236.67,强,powerful,jiàng
510,236.42,执行,implement,zhíxíng
511,236.41,良好,good,liánghǎo
512,236.28,准备,Prepare,zhǔnbèi
513,236.22,均,all,jūn
514,235.85,平均,average,píngjūn
515,235.75,贷款,loan,dàikuǎn
516,234.61,间,between,jiān
517,234.39,汽车,car,qìchē
518,232.79,人口,population,rénkǒu
519,232.64,财政,financial,cáizhèng
520,232.28,下降,decline,xiàjiàng
521,232.28,一定,must,yīdìng
522,232.27,处理,deal with,chǔlǐ
523,231.91,困难,difficulty,kùnnan
524,229.95,人才,Talent,réncái
525,229.51,结合,Combine,jiéhé
526,229.24,加,add,jiā
527,229.02,重视,Pay attention to,zhòngshì
528,228.85,男子,man,nánzǐ
529,228.72,方式,Way,fāngshì
530,228.41,战略,strategy,zhànlüè
531,228.4,规模,scale,guīmó
532,228.21,改善,improve,gǎishàn
533,227.8,广大,Vast,guǎngdà
534,227.57,秒,second,miǎo
535,227.27,驻,Stationed,zhù
536,227.18,还有,and,hái
537,225.7,标准,standard,biāozhǔn
538,225.69,原则,in principle,yuánzé
539,225.49,卡,Card,kǎ
540,225.11,当,when,dāng
541,225.08,实际,actual,shíjì
542,224.75,澳门,Macao,Àomén
543,224.44,建成,Built,jiàn
544,223.82,水,water,shuǐ
545,223.28,讨论,discuss,tǎolùn
546,222.58,控制,control,kòngzhì
547,222.28,体制,system,tǐzhì
548,222.28,俄,Russian,é
549,221.97,打,hit,dá
550,221.71,锦标赛,championship,jǐnbiāosài
551,221.68,主任,director,zhǔrèn
552,221.44,所有,all,suǒyǒu
553,220.99,户,Household,hù
554,220.61,交通,transportation,jiāotōng
555,220.37,起来,stand up,qǐlái
556,220.22,军事,military,jūnshì
557,220.12,销售,Sales,xiāoshòu
558,220.06,组成,composition,zǔchéng
559,219.96,出席,Attend,chūxí
560,219.9,奥运会,Olympic Games,àoyùnhuì
561,219.66,检查,an examination,jiǎnchá
562,219.56,贡献,contribute,gòngxiàn
563,219.53,但是,but,dànshì
564,219.53,有效,efficient,yǒuxiào
565,218.43,明显,obvious,míngxiǎn
566,218.28,如,like,rú
567,218.24,各国,Country,gě
568,218.21,经验,Experience,jīngyàn
569,217.89,商品,commodity,shāngpǐn
570,217.57,中国队,Chinese team,zhōngguó
571,217.19,直接,direct,zhíjiē
572,217.13,因为,because,yīnwèi
573,217.08,决赛,finals,juésài
574,216.58,意见,opinion,yìjiàn
575,216.49,大型,Large-scale,dàxíng
576,216.17,参与,participate,cānyù
577,215.85,年代,Era,niándài
578,215.22,组,Group,zǔ
579,215.13,建议,suggestion,jiànyì
580,214.3,座,seat,zuò
581,213.36,今后,from now on,jīnhòu
582,213.33,阶段,stage,jiēduàn
583,212.92,不同,different,bù
584,212.02,非洲,Africa,fēizhōu
585,211.98,按,according to,àn
586,211.61,底,end,de
587,211.39,此间,here,cǐjiān
588,211.3,伊拉克,Iraq,Yīlākè
589,211.15,胜,Win,shèng
590,210.65,科研,research,kēyán
591,209.76,恢复,recover,huīfù
592,209.54,训练,train,xùnliàn
593,209.51,犯罪,crime,fànzuì
594,209.48,利益,Benefit,lìyì
595,209.42,表明,show,biǎomíng
596,209.02,谈判,negotiation,tánpàn
597,208.98,综合,comprehensive,zōnghé
598,208.85,获,Get,huò
599,208.73,原因,reason,yuányīn
600,207.96,级,class,jí
601,207.82,书记,secretary,shūjì
602,207.56,内容,content,nèiróng
603,206.74,存在,exist,cúnzài
604,206.36,球,ball,qiú
605,206.34,足球,football,zúqiú
606,205.87,电,Electricity,diàn
607,205.6,枚,Enumerate,méi
608,205.55,培训,Train,péixùn
609,205.41,讲话,Speech,jiǎnghuà
610,203.49,受,by,shòu
611,203.1,按照,according to,ànzhào
612,202.91,办法,Method,bànfǎ
613,202.54,首都,capital,shǒudū
614,202.17,批准,approve,pīzhǔn
615,201.15,韩国,South Korea,Hánɡuó
616,200.75,西藏,Tibet,Xīzànɡ
617,200.44,最高,Highest,zuì
618,200.31,产生,produce,chǎnshēng
619,200.07,同期,In the same period,tóngqī
620,199.93,分钟,minute,fēn
621,199.52,任何,any,rènhé
622,199.43,土地,land,tǔdì
623,198.64,机制,mechanism,jīzhì
624,198.41,小时,Hour,xiǎoshí
625,197.89,随着,along with,suízhe
626,197.82,无,none,mó
627,197.23,竞争,compete,jìngzhēng
628,197.2,大量,Large amount,dàliàng
629,196.92,形式,form,xíngshì
630,195.38,落实,implement,luòshí
631,195.31,之后,after,zhīhòu
632,195.11,银行,Bank,yínháng
633,194.79,自治区,autonomous region,zìzhìqū
634,194.52,委员,Member of a member,wěiyuán
635,194.21,业务,business,yèwù
636,193.59,变化,Variety,biànhuà
637,193.11,才,talent,cái
638,193.0,队员,Player,duìyuán
639,192.85,负责人,principal,fùzérén
640,192.76,近日,recently,jìnrì
641,192.67,深入,In-depth,shēnrù
642,192.42,负责,responsible,fùzé
643,191.98,持续,continued,chíxù
644,191.94,上升,rise,shàngshēng
645,191.82,居民,resident,jūmín
646,191.72,迅速,fast,xùnsù
647,191.65,推广,Promote,tuīguǎng
648,191.23,欢迎,welcome,huānyíng
649,191.15,签署,sign,qiānshǔ
650,190.46,行政,administrative,xíngzhèng
651,190.4,认真,serious,rènzhēn
652,190.21,维护,maintain,wéihù
653,190.17,大力,vigorously,dàlì
654,190.09,反,opposite,fǎn
655,189.84,广泛,widely,guǎngfàn
656,189.61,现代化,modernization,xiàndàihuà
657,189.28,集中,concentrated,jízhōng
658,188.7,专业,Professional,zhuānyè
659,188.21,法,Law,fǎ
660,187.97,非常,Very,fēicháng
661,187.47,欧盟,EU,ōuméng
662,186.89,未,not yet,wèi
663,186.02,队伍,Team,duìwu
664,185.87,部队,force,bùduì
665,184.81,行为,behavior,xíngwéi
666,184.76,官员,Officials,guānyuán
667,184.6,电话,telephone,diànhuà
668,184.24,一起,Together,yīqǐ
669,183.56,事件,event,shìjiàn
670,183.23,大会,General Assembly,dàhuì
671,183.21,金,gold,jīn
672,183.09,学校,School,xuéxiào
673,182.87,确定,Sure,quèdìng
674,182.66,成员,member,chéngyuán
675,182.33,机关,organ,jīguān
676,182.11,连续,continuous,liánxù
677,181.62,增强,Enhanced,zēngqiáng
678,181.54,妇女,Woman,fùnǚ
679,181.32,处,Place,chǔ
680,180.97,声明,statement,shēngmíng
681,180.81,力量,strength,lìliàng
682,180.81,八,Eight,bā
683,180.57,冲突,conflict,chōngtū
684,179.62,上午,morning,shàngwǔ
685,179.24,长期,long,chángqī
686,178.97,规划,planning,guīhuà
687,178.83,本届,current,běnjiè
688,178.61,利,profit,lì
689,178.52,设计,design,shèjì
690,178.47,京,Beijing,jīng
691,178.41,逐步,Gradually,zhúbù
692,178.33,委员会,Committee,wěiyuánhuì
693,178.04,倍,Multiplication,bèi
694,177.87,女,Female,nǚ
695,177.81,知识,knowledge,zhīshi
696,177.81,虽然,Although,suīrán
697,177.5,带来,bring,dài
698,177.4,夫,husband,fū
699,177.16,另,Other,lìng
700,176.79,保障,Assure,bǎozhàng
701,176.75,进程,process,jìnchéng
702,176.64,拥有,have,yōngyǒu
703,176.59,李鹏,Li Peng,lǐ
704,175.96,过程,process,guòchéng
705,175.73,公布,Announce,gōngbù
706,175.6,原,Original,yuán
707,175.49,各项,Various items,gě
708,175.28,站,stand,zhàn
709,175.11,北约,NATO,Běiyuē
710,175.09,速度,speed,sùdù
711,173.89,宣传,publicity,xuānchuán
712,173.76,健康,healthy,jiànkāng
713,173.52,看到,See,kān
714,173.42,完全,completely,wánquán
715,172.7,巨大,huge,jùdà
716,172.51,纪录,Record,jìlù
717,172.32,此外,also,cǐwài
718,172.16,就业,Employment,jiùyè
719,172.15,体系,system,tǐxì
720,171.95,石油,oil,shíyóu
721,171.79,建,establish,jiàn
722,171.45,时期,period,shíqī
723,171.44,基础上,basically,jīchǔ
724,170.75,推进,Advancement,tuījìn
725,170.74,多种,Multiple,duōzhǒnɡ
726,170.36,范围,Scope,fànwéi
727,170.35,公路,highway,gōnglù
728,170.0,打击,Strike,dǎjī
729,169.81,能够,were able,nénggòu
730,169.78,加工,Machining,jiāgōng
731,169.78,不少,Many,bù
732,169.55,两岸,Bilateral,liǎng'àn
733,169.19,优秀,excellent,yōuxiù
734,169.15,乡,Township,xiāng
735,168.84,还是,still is,háishi
736,168.7,部,Department,bù
737,168.32,者,By,zhě
738,168.25,有的,some,yǒude
739,167.99,达成,Reach,dáchéng
740,167.45,南,South,nā
741,167.05,下午,afternoon,xiàwǔ
742,166.98,高度,high,gāodù
743,166.98,老,old,lǎo
744,166.38,引进,Introduce,yǐnjìn
745,166.37,夺得,Win,duó
746,166.27,地位,status,dìwèi
748,165.66,家庭,family,jiātíng
749,165.35,此次,This time,cǐcì
750,165.11,用于,Useful,yòngyú
751,165.08,左右,about,zuǒyòu
752,164.92,路,road,lù
753,164.65,联赛,League,liánsài
754,164.23,培养,nourish,péiyǎng
755,163.68,机会,Chance,jīhuì
756,163.38,局,Bureau,jú
757,163.16,案件,case,ànjiàn
758,163.04,尼,Ni,ní
759,162.73,表现,Performance,biǎoxiàn
760,162.73,奥,Oh,ào
761,162.04,市场经济,Market economy,shìchǎng
762,161.9,呼吁,call,hūyù
763,161.64,瓦,watt,wǎ
764,161.44,低,Low,dī
765,161.42,战胜,Defeat,zhànshèng
766,161.02,即,which is,jí
767,160.97,实力,strength,shílì
768,160.94,卫生,health,wèishēng
769,160.8,安排,arrange,ānpái
770,160.59,除,remove,chú
771,160.14,引起,cause,yǐnqǐ
772,159.72,六,six,liù
773,159.5,西部,west,xībù
774,159.13,赛,Match,sài
775,158.68,特色,feature,tèsè
776,158.53,状况,situation,zhuàngkuàng
777,158.46,更加,more,gèngjiā
778,158.02,品种,Variety,pǐnzhǒng
779,157.85,伊,Iraqi,yī
780,157.84,办,manage,bàn
781,157.53,称,say,chèn
782,157.51,现象,Phenomenon,xiànxiàng
783,157.44,西,WEAT,xī
784,157.22,亚,Subaffow,yà
785,156.91,设立,set up,shèlì
786,156.86,具体,specific,jùtǐ
787,156.66,贫困,poor,pínkùn
788,156.49,完善,Complete,wánshàn
